LAST_NAME,PLAYER_NAME,POSITION,GEN_POST,MPG,PPG,FG_PCT,FG3_PCT,FT_PCT,RPG,APG,SPG,BPG,TPG,FPG
Augustin,D.J. Augustin,PG,Guard,24.1,9.8,0.407,0.377,0.856,1.9,4.0,0.6,0.0,1.5,1.4
Kennedy,D.J. Kennedy,SG,Guard,29.5,6.0,0.417,0.5,0.0,3.5,1.5,1.0,0.0,1.5,3.5
Wilson,D.J. Wilson,PF,Front,10.2,3.3,0.457,0.338,0.573,2.4,0.6,0.1,0.2,0.4,0.9
Mbenga,DJ Mbenga,C,Front,6.3,1.6,0.449,0.0,0.658,1.3,0.1,0.1,0.5,0.3,1.1
Stephens,DJ Stephens,SG,Guard,6.0,2.1,0.464,0.0,0.5,0.8,0.0,0.5,0.0,0.5,0.0
Strawberry,DJ Strawberry,SG,Guard,8.2,2.2,0.315,0.24,0.474,0.8,0.9,0.4,0.2,0.3,1.1
White,DJ White,PF,Front,12.1,4.7,0.442,0.166,0.608,2.6,0.4,0.3,0.3,0.3,1.0
Summers,DaJuan Summers,SF,Wing,8.9,2.9,0.360,0.274,0.484,1.0,0.4,0.2,0.0,0.3,1.0
Jeffries,DaQuan Jeffries,SG,Guard,3.2,1.2,0.429,0.25,0.0,0.2,0.2,0.2,0.0,0.0,0.5
Cook,Daequan Cook,PG,Guard,17.4,6.1,0.364,0.348,0.787,2.0,0.7,0.3,0.1,0.5,1.4
Jones,Dahntay Jones,SG,Guard,15.8,5.7,0.407,0.280,0.668,1.8,0.8,0.3,0.3,0.6,2.0
Bertans,Dairis Bertans,PF,Front,13.9,2.8,0.255,0.294,0.0,0.8,0.8,0.1,0.0,0.2,0.6
Wagner,Dajuan Wagner,PG,Guard,15.4,6.9,0.515,0.466,0.682,0.8,1.5,0.4,0.0,1.1,1.6
Johnson,Dakari Johnson,C,Front,5.2,1.8,0.564,0.0,0.55,1.1,0.3,0.2,0.3,0.1,0.9
Davis,Dale Davis,PF,Front,21.0,5.1,0.474,0.0,0.625,5.6,0.8,0.4,0.8,0.5,2.0
Bagaric,Dalibor Bagaric,C,Front,9.2,2.3,0.324,0.0,0.6,2.2,0.4,0.3,0.4,0.6,1.5
Jones,Damian Jones,C,Front,11.9,3.6,0.599,0.055,0.571,2.5,0.4,0.3,0.5,0.5,1.9
Lillard,Damian Lillard,PG,Guard,36.3,24.3,0.436,0.371,0.885,4.1,6.5,0.9,0.3,2.7,1.9
Inglis,Damien Inglis,SF,Wing,7.8,1.8,0.351,0.231,0.875,1.6,0.5,0.3,0.2,0.6,0.6
Wilkins,Damien Wilkins,PF,Front,17.5,5.6,0.420,0.298,0.751,2.1,1.2,0.6,0.2,0.8,1.5
James,Damion James,SF,Wing,12.6,2.6,0.26,0.0,0.577,2.7,0.4,0.4,0.4,0.7,1.0
