SEASON,TEAM,PPG,FG_PCT,FG3_PCT,FT_PCT,ORPG,DRPG,RPG,APG,SPG,BPG,TPG,FPG,WIN_PCT
2005,NYK,97.2,0.451,0.355,0.766,11.7,29.1,40.9,20.3,7.6,3.1,13.8,23.6,40.2
2005,OKC,98.9,0.443,0.365,0.789,12.6,28.1,40.8,18.1,6.7,4.1,12.6,23.7,63.4
2005,ORL,99.5,0.454,0.349,0.758,12.6,31.0,43.6,19.3,7.7,5.3,15.6,23.6,43.9
2005,PHI,99.1,0.437,0.347,0.788,11.0,30.9,42.0,20.8,9.2,3.9,15.1,22.9,52.4
2005,PHX,110.,0.477,0.392,0.748,11.7,32.3,44.1,23.5,6.9,5.5,13.4,19.0,75.6
2005,POR,92.9,0.450,0.361,0.724,11.8,29.3,41.1,21,7.1,6.6,15.1,20.7,32.9
2005,SAC,103.,0.459,0.373,0.786,12.4,29.9,42.4,24.4,8.2,3.8,12.6,20.5,61
2005,SAS,96.1,0.453,0.363,0.724,12.0,30.3,42.3,21.5,7.4,6.6,13.0,20.9,72
2005,TOR,99.7,0.443,0.385,0.773,10.2,29.8,40.0,20.3,7.5,3.8,12.6,22.8,40.2
2005,UTA,92.9,0.448,0.328,0.756,12.7,27.3,40.1,22.2,6.5,4.5,14.9,26.6,31.7
2005,WAS,100.,0.436,0.343,0.724,13.8,28.9,42.7,19.0,8.7,4.2,13.8,22.0,54.9
2006,ATL,97.2,0.453,0.367,0.750,13.0,27.2,40.2,19.8,7.1,4.8,15.0,25.0,31.7
2006,BKN,93.7,0.439,0.329,0.758,10.0,30.9,40.9,22.9,6.8,3.3,12.9,23.2,59.8
2006,BOS,97.9,0.466,0.362,0.754,9.91,29.6,39.5,20.9,7.0,5.1,15.8,24.7,40.2
2006,CHA,96.8,0.432,0.339,0.728,12.0,27.6,39.7,20.9,10.,4.3,13.5,23.9,31.7
2006,CHI,97.8,0.445,0.379,0.738,11.0,31.7,42.7,22,6.1,4.2,14.5,24.8,50
2006,CLE,97.5,0.453,0.339,0.728,11.6,30.6,42.3,19.0,6.9,4.7,13.4,21.1,61
2006,DAL,99.1,0.462,0.373,0.782,12.5,29.6,42.2,17.9,7.2,5.9,12.8,22.3,73.2
2006,DEN,100.,0.461,0.325,0.744,11.0,30.3,41.3,23.4,8.5,5.6,14.3,22.7,53.7
2006,DET,96.8,0.454,0.383,0.727,11.8,28.6,40.5,24.0,7.0,5.9,10.7,18.4,78
2006,GSW,98.4,0.433,0.341,0.718,11.9,30.3,42.2,20.6,7.3,4.3,13.6,23.6,41.5
2006,HOU,90.0,0.433,0.331,0.758,10.3,31.2,41.6,19.2,7.1,3.9,13.6,22.7,41.5
2006,IND,93.8,0.444,0.348,0.737,10.9,31.2,42.1,19.8,7.2,4.9,14.6,22.2,50
2006,LAC,97.1,0.464,0.344,0.790,10.0,32.9,43.0,20.8,6.5,6.1,13.7,22.8,57.3
2006,LAL,99.4,0.452,0.348,0.744,11.8,30.3,42.1,21.1,7.6,4.2,13.3,23.0,54.9
2006,MEM,92.1,0.448,0.373,0.710,10.1,29.0,39.1,19.3,7.3,5.3,12.8,21.4,59.8
2006,MIA,99.8,0.478,0.344,0.699,10.4,32.6,43.0,20.6,6.3,5.3,13.8,22.8,63.4
2006,MIL,97.8,0.453,0.379,0.738,11.3,29.8,41.1,21.5,7.2,3.2,14.0,23.1,48.8
2006,MIN,91.7,0.455,0.329,0.757,9.89,29.5,39.4,20.9,6.8,5.7,13.7,23.0,40.2
2006,NOP,92.8,0.440,0.338,0.757,11.1,29.0,40.2,18.5,7.4,3.7,12.5,21.7,46.3
2006,NYK,95.6,0.454,0.361,0.725,12.6,28.7,41.3,17.9,6.7,3.3,17.0,26.3,28
2006,OKC,102.,0.458,0.370,0.785,12.3,27.2,39.5,20.6,7.5,3.7,14.0,23.5,42.7
2006,ORL,94.9,0.472,0.375,0.730,10.8,29.2,40.1,18.2,6.4,4.4,14.4,23.2,43.9
2006,PHI,99.3,0.458,0.363,0.759,10.6,29.5,40.2,20.1,7.9,4.9,13.5,20.8,46.3
2006,PHX,108.,0.478,0.399,0.806,9.48,32.3,41.8,26.5,6.6,5.0,12.7,20.5,65.9
2006,POR,88.8,0.445,0.349,0.688,10.8,26.8,37.6,18.1,6.4,5.3,13.6,22.2,25.6
2006,SAC,98.8,0.454,0.350,0.784,10.3,30.1,40.5,22.2,7.4,3.6,13.9,20.3,53.7
2006,SAS,94.4,0.473,0.383,0.701,10.2,30.7,41.0,20.6,6.4,5.6,13.0,20.6,76.8
2006,TOR,101.,0.453,0.375,0.791,10.5,27.9,38.4,19.4,6.4,3.3,12.4,23.9,32.9
2006,UTA,92.3,0.442,0.336,0.719,13.0,29.0,42.0,21.6,6.3,6,14.7,24.7,50
2006,WAS,101.,0.446,0.356,0.756,12.6,28.5,41.2,18.5,8.0,4.1,13.4,22.6,51.2
2007,ATL,93.6,0.444,0.328,0.761,11.9,28.1,40.0,19.1,7.4,5.4,15.1,24.0,36.6
2007,BKN,97.5,0.456,0.363,0.727,10.0,30.7,40.8,23.9,6.0,3.3,14.1,22.7,50
2007,BOS,95.8,0.442,0.367,0.766,11.1,29.1,40.3,19.8,7.1,4.6,15.6,24.0,29.3
2007,CHA,96.8,0.445,0.357,0.734,11.2,28.6,39.8,22.3,7.7,4.5,14.3,24.2,40.2
2007,CHI,98.7,0.457,0.388,0.733,12,31.6,43.6,22.3,7.7,5.4,15.4,23.2,59.8
2007,CLE,96.7,0.447,0.351,0.695,12.6,30.8,43.5,20.8,7.6,4.3,13.7,21.7,61
2007,DAL,100.,0.467,0.381,0.804,11.2,30.6,41.8,19.9,6.8,4.9,13.1,22.4,81.7
2007,DEN,105.,0.464,0.336,0.746,12.2,31.1,43.4,23.4,8.2,5.3,16.1,21.4,54.9
2007,DET,96,0.453,0.344,0.774,11.5,28.9,40.5,21.5,7.1,5.7,11.7,20.3,64.6
2007,GSW,106.,0.462,0.355,0.716,11.4,29.9,41.4,23.7,9.1,5.6,15.6,23.5,51.2
2007,HOU,96.9,0.445,0.372,0.753,10.7,32.5,43.3,20.7,7.1,4.1,13.5,20.8,63.4
2007,IND,95.6,0.437,0.346,0.76,12.0,29.7,41.8,20.4,7.3,5.4,15.8,23.3,42.7
2007,LAC,95.6,0.455,0.347,0.787,10.8,30.2,41.1,21.4,7.2,5.7,14.4,22.6,48.8
2007,LAL,103.,0.465,0.352,0.747,10.8,30.4,41.2,22.5,7.3,5.1,15.0,23.0,51.2
2007,MEM,101.,0.464,0.367,0.761,10.5,28.9,39.5,20.4,6.8,4.9,15.7,22.2,26.8
2007,MIA,94.6,0.464,0.343,0.689,9.96,30.8,40.7,20.5,6.9,5.3,13.9,21.3,53.7
2007,MIL,99.6,0.464,0.355,0.732,11.4,27.7,39.1,21.5,7.1,2.7,14.5,22.2,34.1
2007,MIN,96.0,0.460,0.352,0.792,9.98,30.1,40.1,22.5,6.4,3.9,15.0,21.4,39
2007,NOP,95.5,0.445,0.362,0.739,12.5,30.6,43.1,18.7,6.3,4.2,13.6,19.7,47.6
2007,NYK,97.4,0.456,0.345,0.715,12.5,30.6,43.2,18.6,6.6,3.1,16.2,23.5,40.2
2007,OKC,99.1,0.459,0.361,0.790,11.3,28.3,39.6,20.6,7.6,3.6,14.5,21.9,37.8
2007,ORL,94.7,0.472,0.355,0.701,11.2,29.4,40.7,18.5,6.8,5.0,16.2,23.2,48.8
2007,PHI,94.9,0.457,0.345,0.766,10.9,28.6,39.6,20.3,7.1,4.7,14.7,20.3,42.7
2007,PHX,110.,0.494,0.399,0.807,8.98,31.5,40.4,25.8,6.7,4.8,13.9,20.2,74.4
2007,POR,94.1,0.449,0.345,0.769,11.2,28.0,39.2,18.4,6.7,4.6,14.3,23.5,39
2007,SAC,101.,0.450,0.350,0.764,9.71,29.2,38.9,20.3,8.1,3.2,14.0,21.8,40.2
2007,SAS,97.3,0.473,0.381,0.751,9.19,31.0,40.2,21.8,7.0,5.0,13.1,19.1,70.7
2007,TOR,99.4,0.463,0.362,0.788,9.20,30.2,39.4,22.2,7.0,3.9,12.9,20.3,57.3
2007,UTA,101.,0.474,0.335,0.743,12.5,29.9,42.5,24.6,7.0,4.1,15.0,25.2,62.2
2007,WAS,104.,0.450,0.347,0.764,12.1,29.0,41.1,20.2,7.7,4.5,13.2,22.2,50
2008,ATL,98.2,0.454,0.356,0.772,12.2,29.9,42.2,22,7.3,5.4,14.2,20.4,45.1
2008,BKN,95.8,0.442,0.348,0.736,11.1,30.7,41.8,23.4,6.3,4.7,14.3,22.6,40.2
